"filename", "language", "CSS", "JavaScript", "Markdown", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv2-description\Lv2-description.js", "JavaScript", 0, 64, 0, 0, 0, 0, 1, 7, 72
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv3-description\Lv3-description.css", "CSS", 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv3-description\Lv3-description.js", "JavaScript", 0, 50, 0, 0, 0, 0, 26, 8, 84
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv4-description\Lv4-description.css", "CSS", 82, 0, 0, 0, 0, 0, 4, 11, 97
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv4-description\Lv4-description.js", "JavaScript", 0, 67, 0, 0, 0, 0, 1, 8, 76
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv5-description\lv5-description.css", "CSS", 82, 0, 0, 0, 0, 0, 2, 11, 95
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\lv5-description\lv5-description.js", "JavaScript", 0, 72, 0, 0, 0, 0, 1, 8, 81
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\mainApp\MainApp.css", "CSS", 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\mainApp\MainApp.js", "JavaScript", 0, 66, 0, 0, 0, 0, 13, 9, 88
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\search-description\Search-descripton.css", "CSS", 19, 0, 0, 0, 0, 0, 1, 0, 20
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\main\search-description\Search-descripton.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\agree_app\agree.js", "JavaScript", 0, 83, 0, 0, 0, 0, 5, 8, 96
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\membership\agree_app\agree.scss", "SCSS", 0, 0, 0, 88, 0, 0, 9, 5, 102
